row_index,stck_bsop_date,stck_oprc,stck_hgpr,stck_lwpr,stck_clpr,acml_vol,prdy_vrss,prdy_ctrt,prdy_vrss_sign,prdy_vrss_vol_rate,acml_prtt_rate,hts_frgn_ehrt,frgn_ntby_qty,flng_cls_code,date,open,high,low,close,volume,ret_1,logret_1,ret_5,ret_20,ma5,ma20,ma60,close_ma5_gap,close_ma20_gap,close_ma60_gap,range_pct,atr_proxy,vol_ma20,volume_ratio,rsi14,future_return,target_signal,market_state_token,label_id,pred_signal,pred_confidence,prob_sell,prob_hold,prob_buy
0,2006-08-28,9101.82927014483,9129.834898668352,9003.8095703125,9003.8095703125,10722200,-42.009765625,-0.4644108406864022,-1.0,-32.90909545977875,0.0619712979018136,,,,2006-08-28,9101.82927014483,9129.834898668352,9003.8095703125,9003.8095703125,10722200.0,-0.004644108406864023,-0.004654925782682895,-0.02130946378434606,0.06988377131348567,9043.0185546875,8759.46240234375,8401.355859375,-0.004335829251912338,0.027895224243826844,0.07170910517559226,0.013996889580093399,0.019742391035993744,17663392.5,0.6070294820205122,61.42785491654267,0.0233282331339566,BUY,T_UP|M5_NEG|M20_S_POS|RSI_STRONG|VOL_LOW|RNG_LOW,2,,,,,
1,2006-08-29,9129.837692052351,9255.863058967185,9101.832054960169,9227.857421875,15312250,224.0478515625,2.4883672829024928,1.0,42.80884519967918,0.0883970442326174,,,,2006-08-29,9129.837692052351,9255.863058967185,9101.832054960169,9227.857421875,15312250.0,0.024883672829024928,0.024579116227000597,0.0015199812188360085,0.08388167893662368,9045.81953125,8795.16962890625,8413.846940104168,0.02012397992200987,0.04919607139203741,0.09674652837941378,0.016691957511380667,0.019540945492381574,17258242.5,0.8872427189500901,67.16430382842012,-0.0015176743822786776,HOLD,T_UP|M5_NEU|M20_S_POS|RSI_STRONG|VOL_NORMAL|RNG_LOW,1,,,,,
2,2006-08-30,9241.860776479009,9255.863595837309,9087.829763537691,9171.8466796875,13979500,-56.0107421875,-0.606974508023117,-1.0,-8.70381557249914,0.0817907516280482,,,,2006-08-30,9241.860776479009,9255.863595837309,9087.829763537691,9171.8466796875,13979500.0,-0.00606974508023117,-0.006088240864007943,0.013932109305932583,0.08264458427622179,9071.025,8830.17666015625,8423.539078776043,0.011114695383101836,0.03869345231482657,0.08883529760037479,0.01832061068702283,0.019226183918078003,17288595.0,0.8085966499880413,64.57863198375526,-0.0015272619559835166,HOLD,T_UP|M5_POS|M20_S_POS|RSI_STRONG|VOL_NORMAL|RNG_LOW,1,,,,,
3,2006-08-31,9157.842322716346,9269.86485877404,9101.8310546875,9101.8310546875,20178950,-70.015625,-0.7633754405757864,-1.0,44.34672198576488,0.0735326267116995,,,,2006-08-31,9157.842322716346,9269.86485877404,9101.8310546875,9101.8310546875,20178950.0,-0.007633754405757864,-0.007663040646770369,0.022012535513065368,0.06907892850252395,9110.2328125,8859.582568359376,8432.297444661459,-0.0009222330521534428,0.027343103860590023,0.07940109020346853,0.018461538461538723,0.019261018364677168,17750302.5,1.1368228794974058,61.396718447563856,-0.0015381520395052473,HOLD,T_UP|M5_POS|M20_S_POS|RSI_STRONG|VOL_NORMAL|RNG_LOW,1,,,,,
4,2006-09-01,9129.837026225114,9199.85111384954,9087.82857365046,9143.83984375,8951400,42.0087890625,0.4615421755259419,1.0,-55.639911888378734,0.0784874325520055,,,,2006-09-01,9129.837026225114,9199.85111384954,9087.82857365046,9143.83984375,8951400.0,0.004615421755259419,0.004604803355995557,0.010836001048913468,0.07049191816954448,9129.8369140625,8889.688671875,8444.787288411459,0.0015337546354121656,0.0285894344848181,0.08277917861801343,0.012251148545175899,0.018370979198628904,17569600.0,0.5094822875876514,62.58780307968439,-0.00918800780751039,HOLD,T_UP|M5_POS|M20_S_POS|RSI_STRONG|VOL_V_LOW|RNG_LOW,1,,,,,
5,2006-09-04,9269.863800698138,9269.863800698138,9171.844092835772,9213.8525390625,8986350,70.0126953125,0.7656815572984366,1.0,0.3904417186138431,0.0867452119208376,,,,2006-09-04,9269.863800698138,9269.863800698138,9171.844092835772,9213.8525390625,8986350.0,0.007656815572984366,0.007627650938173858,0.0233282331339566,0.06991870305915593,9171.8455078125,8919.7947265625,8463.80712076823,0.004579997691219084,0.032966881135091164,0.08861797150998774,0.010638297872340313,0.017832156319380482,17612845.0,0.5102156976910885,64.55091364773833,-0.03343449936592369,SELL,T_UP|M5_POS|M20_S_POS|RSI_STRONG|VOL_V_LOW|RNG_LOW,0,,,,,
6,2006-09-05,9185.84690824468,9241.85816988032,9129.835646609044,9213.8525390625,7216450,0.0,0.0,0.0,-19.69542695310109,0.0867452119208376,,,,2006-09-05,9185.84690824468,9241.85816988032,9129.835646609044,9213.8525390625,7216450.0,0.0,0.0,-0.0015176743822786776,0.08580846653448981,9169.04453125,8956.202001953125,8483.293343098958,0.004886878633840741,0.02876783451882714,0.08611740351497366,0.012158054711245987,0.01777594709741447,17221100.0,0.4190469830614769,64.55091364773833,-0.0395132583676604,SELL,T_UP|M5_NEU|M20_S_POS|RSI_STRONG|VOL_V_LOW|RNG_LOW,0,,,,,
7,2006-09-06,9213.850114081612,9213.850114081612,9115.830432016915,9157.8388671875,7866200,-56.013671875,-0.6079288944285555,-1.0,9.003734523207395,0.0801385737687521,,,,2006-09-06,9213.850114081612,9213.850114081612,9115.830432016915,9157.8388671875,7866200.0,-0.006079288944285555,-0.006097843056746655,-0.0015272619559835166,0.06341435811636398,9166.24296875,8983.507373046876,8502.079166666666,-0.0009168534579709897,0.01940572728460932,0.07712933362133478,0.01070336391437288,0.016544022337083512,16934495.0,0.46450750376671995,61.553998600774435,-0.01834792533334928,HOLD,T_UP|M5_NEU|M20_S_POS|RSI_STRONG|VOL_V_LOW|RNG_LOW,1,,,,,
8,2006-09-07,9045.82259064426,9115.836697382992,9003.81412660102,9087.8310546875,10126650,-70.0078125,-0.7644577887348292,-1.0,28.736238590424847,0.0718813703124476,,,,2006-09-07,9045.82259064426,9115.836697382992,9003.81412660102,9087.8310546875,10126650.0,-0.007644577887348292,-0.007673947447221607,-0.0015381520395052473,0.05357162669763027,9163.44296875,9006.612109375,8525.527685546875,-0.008251474289779348,0.00901770214218045,0.0659552569507087,0.012326656394452955,0.01546456748024128,16685187.5,0.6069245550881582,57.9337309095618,0.009244848907778103,HOLD,T_FLAT|M5_NEU|M20_POS|RSI_STRONG|VOL_LOW|RNG_LOW,1,,,,,
9,2006-09-08,9017.817704308343,9101.834639441651,9017.817704308343,9059.826171875,7533050,-28.0048828125,-0.3081580483173196,-1.0,-25.611628722232915,0.0685782816014159,,,,2006-09-08,9017.817704308343,9101.834639441651,9017.817704308343,9059.826171875,7533050.0,-0.0030815804831731963,-0.0030863383292807356,-0.00918800780751039,0.05718988472089803,9146.640234375,9031.1171875,8547.576774088542,-0.009491360792100889,0.0031788962294427847,0.059929195294192716,0.009273570324575,0.014713614632148838,16277092.5,0.46280071210506424,56.502132559315115,0.013910030782789073,HOLD,T_FLAT|M5_NEU|M20_POS|RSI_STRONG|VOL_V_LOW|RNG_V_LOW,1,,,,,
10,2006-09-11,9059.822985763069,9087.828620958628,8863.783539394162,8905.7919921875,18312850,-154.0341796875,-1.70018912907709,-1.0,143.1000723478538,0.0504104298219498,,,,2006-09-11,9059.822985763069,9087.828620958628,8863.783539394162,8905.7919921875,18312850.0,-0.0170018912907709,-0.0171480828355719,-0.03343449936592369,0.04777598684146267,9085.028125,9051.4212890625,8566.592244466146,-0.019728737252808548,-0.016089108243251826,0.039595645274288715,0.02515723270440251,0.015425019226102038,16363987.5,1.1190945972062127,49.28778564578036,0.05817612769779501,BUY,T_DOWN|M5_S_NEG|M20_POS|RSI_NEUTRAL|VOL_NORMAL|RNG_LOW,2,,,,,
11,2006-09-12,8933.800132268592,8989.811418364321,8807.774738553206,8849.783203125,17687250,-56.0087890625,-0.6289029556454162,-1.0,-3.416180441602479,0.0438043675823918,,,,2006-09-12,8933.800132268592,8989.811418364321,8807.774738553206,8849.783203125,17687250.0,-0.006289029556454162,-0.006308888810242053,-0.0395132583676604,0.04462821844819609,9012.2142578125,9070.325146484374,8580.943391927083,-0.018023434645563663,-0.02431466786445413,0.03132986653318803,0.020569620253164545,0.015346290199514731,16393052.5,1.0789479262632753,46.940820574826056,0.06329129708112102,BUY,T_DOWN|M5_S_NEG|M20_POS|RSI_NEUTRAL|VOL_NORMAL|RNG_LOW,2,,,,,
12,2006-09-13,8961.805880062304,9031.819988500292,8919.797414999513,8989.8115234375,24360250,140.0283203125,1.5822796683093276,1.0,37.7277417348655,0.0603202718675728,,,,2006-09-13,8961.805880062304,9031.819988500292,8919.797414999513,8989.8115234375,24360250.0,0.015822796683093276,0.0156989212311327,-0.01834792533334928,0.03883514538056598,8978.6087890625,9087.12861328125,8599.027376302083,0.0012477138316402403,-0.010709333386292763,0.045445156764167605,0.012461059190031161,0.015113275110213265,16631707.5,1.4646872547512033,52.97035032629594,0.03894013263930396,BUY,T_FLAT|M5_NEG|M20_POS|RSI_NEUTRAL|VOL_HIGH|RNG_LOW,2,,,,,
13,2006-09-14,8989.81002802958,9171.8466796875,8975.807208671278,9171.8466796875,31021950,182.03515625,2.024905147070255,1.0,27.346599480711408,0.0817907516280487,,,,2006-09-14,8989.81002802958,9171.8466796875,8975.807208671278,9171.8466796875,31021950.0,0.02024905147070255,0.020046765600531202,0.009244848907778103,0.01708088222076043,8995.4119140625,9094.830224609375,8622.243904622395,0.019613861745361394,0.008468157533026766,0.06374242959775955,0.021374045801526763,0.015313146139380259,16241497.5,1.9100424699138734,59.42542111464094,0.015267189389745806,HOLD,T_FLAT|M5_NEU|M20_NEU|RSI_STRONG|VOL_V_HIGH|RNG_LOW,1,,,,,
14,2006-09-15,9143.840178699027,9213.854268888148,9115.83454262338,9185.8486328125,11988600,14.001953125,0.1526623112443559,1.0,-61.354460309555,0.0834422383923116,,,,2006-09-15,9143.840178699027,9213.854268888148,9115.83454262338,9185.8486328125,11988600.0,0.0015266231124435592,0.0015254590079951669,0.013910030782789073,0.0,9020.61640625,9094.830224609375,8645.460628255209,0.01831717691132706,0.010007708330479925,0.06250540344735223,0.010670731707317223,0.015075563434181963,14965475.0,0.8010838279439844,59.88155401591243,-0.0030492300433676567,HOLD,T_FLAT|M5_POS|M20_NEU|RSI_STRONG|VOL_NORMAL|RNG_LOW,1,,,,,
15,2006-09-18,9199.85139707931,9507.913392110884,9199.85139707931,9423.896484375,26352850,238.0478515625,2.591462815010659,1.0,119.81590844635738,0.1115192411223675,,,,2006-09-18,9199.85139707931,9507.913392110884,9199.85139707931,9423.896484375,26352850.0,0.02591462815010659,0.025584534855868313,0.05817612769779501,0.024352884355113513,9124.2373046875,9106.032373046875,8670.546256510417,0.03284210720095504,0.034906982350400684,0.08688613215100705,0.03268945022288251,0.01621824148500352,15425867.5,1.7083544896259482,66.72945698041121,-0.02971771189224537,SELL,T_UP|M5_S_POS|M20_POS|RSI_STRONG|VOL_V_HIGH|RNG_LOW,0,,,,,
16,2006-09-19,9423.900284540086,9493.914402553011,9395.894637334915,9409.8974609375,12795650,-13.9990234375,-0.1485481452466186,-1.0,-51.44491013305961,0.1098680999056209,,,,2006-09-19,9423.900284540086,9493.914402553011,9395.894637334915,9409.8974609375,12795650.0,-0.0014854814524661863,-0.0014865858739057103,0.06329129708112102,0.02127719333946998,9236.26015625,9115.834619140625,8694.932145182293,0.018799525105407833,0.0322584660739047,0.08222782004703255,0.010416666666666345,0.01565367405497806,15093400.0,0.8477645858454689,66.01581621430759,-0.03125023674893512,SELL,T_UP|M5_S_POS|M20_POS|RSI_STRONG|VOL_NORMAL|RNG_LOW,0,,,,,
17,2006-09-20,9283.864726328242,9367.88160167963,9227.853476093984,9339.8759765625,14816350,-70.021484375,-0.7441259021755964,-1.0,15.792085591587757,0.101609283894239,,,,2006-09-20,9283.864726328242,9367.88160167963,9227.853476093984,9339.8759765625,14816350.0,-0.007441259021755964,-0.007469083307416469,0.03894013263930396,0.032507463360091915,9306.273046875,9130.537451171875,8714.886490885418,0.003610782696600978,0.022927294971421208,0.07171516075748507,0.0149925037481261,0.015405885861162871,15098642.5,0.9813034516182498,62.41994837926162,-0.005996633428596465,HOLD,T_UP|M5_S_POS|M20_POS|RSI_STRONG|VOL_NORMAL|RNG_LOW,1,,,,,
18,2006-09-21,9437.90037593985,9479.908834586466,9297.872180451128,9311.875,13060450,-28.0009765625,-0.2998003039094477,-1.0,-11.85109693008062,0.0983066559132295,,,,2006-09-21,9437.90037593985,9479.908834586466,9297.872180451128,9311.875,13060450.0,-0.0029980030390944767,-0.003002506052490972,0.015267189389745806,0.04559762996583916,9334.2787109375,9150.8416015625,8734.140974934895,-0.0024001544877001457,0.017597659914690533,0.06614663385020658,0.01954887218045107,0.0159271518351111,14862540.0,0.8787495273351661,60.98929029966878,0.004511208805960232,HOLD,T_UP|M5_POS|M20_POS|RSI_STRONG|VOL_NORMAL|RNG_LOW,1,,,,,
19,2006-09-22,9213.850114081612,9255.858549252198,9129.833243740444,9157.8388671875,11768200,-154.0361328125,-1.6541902980065748,-1.0,-9.894375768063124,0.0801385737687523,,,,2006-09-22,9213.850114081612,9255.858549252198,9129.833243740444,9157.8388671875,11768200.0,-0.016541902980065748,-0.016680248039397938,-0.0030492300433676567,0.012383569369439629,9328.6767578125,9156.442578125,8751.527734375,-0.0183131965079536,0.00015249252650106904,0.04642745188552122,0.013761467889908159,0.016150235407794516,14651870.0,0.8031875794693784,53.697995867969034,0.01529128851040884,HOLD,T_FLAT|M5_NEU|M20_NEU|RSI_NEUTRAL|VOL_NORMAL|RNG_LOW,1,,,,,
20,2006-09-25,9101.831391175345,9213.853931374426,9073.825756125574,9143.83984375,12493150,-13.9990234375,-0.1528638321827036,-1.0,6.160245407114084,0.0784874325520057,,,,2006-09-25,9101.831391175345,9213.853931374426,9073.825756125574,9143.83984375,12493150.0,-0.001528638321827036,-0.0015298078814272031,-0.02971771189224537,0.015552336191028582,9272.6654296875,9163.444091796875,8766.230680338542,-0.013893048003765007,-0.0021393973543664124,0.04307543084148868,0.015313935681470173,0.016375655477096244,14740417.5,0.847543836529732,53.07695967439687,0.018376870015375024,HOLD,T_FLAT|M5_NEG|M20_NEU|RSI_NEUTRAL|VOL_NORMAL|RNG_LOW,1,,,,,
21,2006-09-26,9157.844398041474,9213.85567876344,9045.821836597544,9115.8359375,12855500,-28.00390625,-0.3062598069140665,-1.0,2.900389413398541,0.0751844590234795,,,,2006-09-26,9157.844398041474,9213.85567876344,9045.821836597544,9115.8359375,12855500.0,-0.003062598069140665,-0.0030672974198751035,-0.03125023674893512,-0.01213949016046223,9213.853125,9157.843017578125,8777.432958984375,-0.010638023655277218,-0.004587005913673559,0.038553752571729216,0.01843317972350204,0.016927785177748324,14617580.0,0.8794547387460852,51.78668404177228,-0.0046083309693725205,HOLD,T_FLAT|M5_S_NEG|M20_NEU|RSI_NEUTRAL|VOL_NORMAL|RNG_LOW,1,,,,,
